,rank,no_of_weeks,book,authors,publisher,description,date,author1,author2,nyt_name,good_reads_book,author_link,avg_rating,no_of_ratings,year,author_place,place,geometry.type,geometry.coordinates
7963,14,7 weeks on the list,LATER,Stephen King,Hard Case Crime,An N.Y.P.D. detective asks the son of a struggling single mother to use his unnatural ability to track a killer.,2021-05-02,Stephen King,,LATER,Later,https://www.goodreads.com/author/show/3389.Stephen_King?from_search=true&from_srp=true,3.98,120548.0,2021,"Portland, Maine, The United States","Portland, Maine, The United States",Point,"[-70.2568189, 43.6590993]"
7964,15,20 weeks on the list,THE INVISIBLE LIFE OF ADDIE LARUE,V.E. Schwab,Tor/Forge,A Faustian bargain comes with a curse that affects the adventure Addie LaRue has across centuries.,2021-05-02,V.E. Schwab,,THE INVISIBLE LIFE OF ADDIE LARUE,The Invisible Life of Addie LaRue,https://www.goodreads.com/author/show/7168230.V_E_Schwab?from_search=true&from_srp=true,4.2,969131.0,2021,The United States,The United States,Point,"[-95.712891, 37.09024]"
7965,1,New this week,A GAMBLING MAN,David Baldacci,Grand Central,"Aloysius Archer, a World War II veteran, seeks to apprentice with Willie Dash, a private eye, in a corrupt California town.",2021-05-09,David Baldacci,,A GAMBLING MAN,"A Gambling Man (Archer, #2)",https://www.goodreads.com/author/show/9291.David_Baldacci?from_search=true&from_srp=true,4.14,38091.0,2021,"Richmond, Virginia, The United States","Richmond, Virginia, The United States",Point,"[-77.4360481, 37.5407246]"
7966,2,2 weeks on the list,OCEAN PREY,John Sandford,Putnam,"The 31st book in the Prey series. When federal officers are killed, Lucas Davenport and Virgil Flowers team up to investigate matters.",2021-05-09,John Sandford,,OCEAN PREY,"Ocean Prey (Lucas Davenport #31, Virgil Flowers #13)",https://www.goodreads.com/author/show/4610.John_Sandford?from_search=true&from_srp=true,4.39,32685.0,2021,"Cedar Rapids, Iowa, The United States","Cedar Rapids, Iowa, The United States",Point,"[-91.6656232, 41.9778795]"
7967,3,4 weeks on the list,THE HILL WE CLIMB,Amanda Gorman,Viking,"The poem read on President Joe Biden's Inauguration Day, by the youngest poet to write and perform an inaugural poem.",2021-05-09,Amanda Gorman,,THE HILL WE CLIMB,The Hill We Climb: An Inaugural Poem for the Country,https://www.goodreads.com/author/show/17342520.Amanda_Gorman?from_search=true&from_srp=true,4.57,30520.0,2021,"Los Angeles, California, The United States","Los Angeles, California, The United States",Point,"[-118.242643, 34.0549076]"
7968,4,12 weeks on the list,THE FOUR WINDS,Kristin Hannah,St. Martin's,"As dust storms roll during the Great Depression, Elsa must choose between saving the family and farm or heading West.",2021-05-09,Kristin Hannah,,THE FOUR WINDS,The Four Winds,https://www.goodreads.com/author/show/54493.Kristin_Hannah?from_search=true&from_srp=true,4.3,610519.0,2021,"Southern California, The United States","Southern California, The United States",Point,"[-116.419389, 34.9592083]"
7969,5,127 weeks on the list,WHERE THE CRAWDADS SING,Delia Owens,Putnam,"In a quiet town on the North Carolina coast in 1969, a young woman who survived alone in the marsh becomes a murder suspect.",2021-05-09,Delia Owens,,WHERE THE CRAWDADS SING,Where the Crawdads Sing,https://www.goodreads.com/author/show/7043934.Delia_Owens?from_search=true&from_srp=true,4.39,2780171.0,2021,,,,
7970,6,New this week,LOVER UNVEILED,J.R. Ward,Gallery,The 19th book in the Black Dagger Brotherhood series. Sahvage and Mae fight against what she unleashed.,2021-05-09,J.R. Ward,,LOVER UNVEILED,"Lover Unveiled (Black Dagger Brotherhood, #19)",https://www.goodreads.com/author/show/20248.J_R_Ward?from_search=true&from_srp=true,4.24,11305.0,2021,The United States,The United States,Point,"[-95.712891, 37.09024]"
7971,7,21 weeks on the list,THE MIDNIGHT LIBRARY,Matt Haig,Viking,Nora Seed finds a library beyond the edge of the universe that contains books with multiple possibilities of the lives one could have lived.,2021-05-09,Matt Haig,,THE MIDNIGHT LIBRARY,The Midnight Library,https://www.goodreads.com/author/show/76360.Matt_Haig?from_search=true&from_srp=true,4.01,1588083.0,2021,"Sheffield, The United Kingdom","Sheffield, The United Kingdom",Point,"[-1.470085, 53.38112899999999]"
7972,8,6 weeks on the list,THE SONG OF ACHILLES,Madeline Miller,Ecco,A reimagining of Homer’s “Iliad” that is narrated by Achilles' companion Patroclus.,2021-05-09,Madeline Miller,,THE SONG OF ACHILLES,The Song of Achilles,https://www.goodreads.com/author/show/176372.Madeline_Miller?from_search=true&from_srp=true,4.34,1358953.0,2021,"Boston, The United States","Boston, The United States",Point,"[-71.0588801, 42.3600825]"
7973,9,2 weeks on the list,THE GOOD SISTER,Sally Hepworth,St. Martin's,"Past secrets come up when Fern decides to pay back her twin sister, Rose, by having a baby for her.",2021-05-09,Sally Hepworth,,THE GOOD SISTER,The Good Sister,https://www.goodreads.com/author/show/8123141.Sally_Hepworth?from_search=true&from_srp=true,4.17,167893.0,2021,Australia,Australia,Point,"[133.775136, -25.274398]"
7974,10,21 weeks on the list,THE INVISIBLE LIFE OF ADDIE LARUE,V.E. Schwab,Tor/Forge,A Faustian bargain comes with a curse that affects the adventure Addie LaRue has across centuries.,2021-05-09,V.E. Schwab,,THE INVISIBLE LIFE OF ADDIE LARUE,The Invisible Life of Addie LaRue,https://www.goodreads.com/author/show/7168230.V_E_Schwab?from_search=true&from_srp=true,4.2,969131.0,2021,The United States,The United States,Point,"[-95.712891, 37.09024]"
7975,11,4 weeks on the list,THE BOOK OF LONGINGS,Sue Monk Kidd,Viking,A scholarly young woman named Ana meets an 18-year-old Jesus and becomes caught up in a confluence of dangers.,2021-05-09,Sue Monk Kidd,,THE BOOK OF LONGINGS,The Book of Longings,https://www.goodreads.com/author/show/4711.Sue_Monk_Kidd?from_search=true&from_srp=true,4.23,118799.0,2021,"Sylvester, Georgia, The United States","Sylvester, Georgia, The United States",Point,"[-83.8354542, 31.5307349]"
7976,12,7 weeks on the list,THE ROSE CODE,Kate Quinn,Morrow,"As a post-World War II royal wedding approaches, an encrypted letter resurrects an alliance between three female code breakers.",2021-05-09,Kate Quinn,,THE ROSE CODE,The Rose Code,https://www.goodreads.com/author/show/2974095.Kate_Quinn?from_search=true&from_srp=true,4.46,227457.0,2021,"Long Beach, CA, The United States","Long Beach, CA, The United States",Point,"[-118.1937395, 33.7700504]"
7977,13,8 weeks on the list,LATER,Stephen King,Hard Case Crime,An N.Y.P.D. detective asks the son of a struggling single mother to use his unnatural ability to track a killer.,2021-05-09,Stephen King,,LATER,Later,https://www.goodreads.com/author/show/3389.Stephen_King?from_search=true&from_srp=true,3.98,120548.0,2021,"Portland, Maine, The United States","Portland, Maine, The United States",Point,"[-70.2568189, 43.6590993]"
7978,14,6 weeks on the list,WIN,Harlan Coben,Grand Central,Windsor Horne Lockwood III might rectify cold cases connected to his family that have eluded the F.B.I. for decades.,2021-05-09,Harlan Coben,,,,,,,2021,,,,
7979,15,42 weeks on the list,THE VANISHING HALF,Brit Bennett,Riverhead,The lives of twin sisters who run away from a Southern Black community at age 16 diverge as one returns and the other takes on a different racial identity but their fates intertwine.,2021-05-09,Brit Bennett,,THE VANISHING HALF,The Vanishing Half,https://www.goodreads.com/author/show/10802967.Brit_Bennett?from_search=true&from_srp=true,4.15,722333.0,2021,The United States,The United States,Point,"[-95.712891, 37.09024]"
7980,1,New this week,SOOLEY,John Grisham,Doubleday,Samuel Sooleymon receives a basketball scholarship to North Carolina Central and determines to bring his family over from a civil war-ravaged South Sudan.,2021-05-16,John Grisham,,SOOLEY,Sooley,https://www.goodreads.com/author/show/721.John_Grisham?from_search=true&from_srp=true,4.14,59224.0,2021,"Jonesboro, Arkansas, The United States","Jonesboro, Arkansas, The United States",Point,"[-90.7051346, 35.835696]"
7981,2,New this week,FINDING ASHLEY,Danielle Steel,Delacorte,"Two estranged sisters, one a former best-selling author, the other a nun, reconnect as one searches for the child the other gave up.",2021-05-16,Danielle Steel,,FINDING ASHLEY,Finding Ashley,https://www.goodreads.com/author/show/14255.Danielle_Steel?from_search=true&from_srp=true,4.11,13429.0,2021,"New York, New York, The United States","New York, New York, The United States",Point,"[-74.0059728, 40.7127753]"
7982,3,2 weeks on the list,A GAMBLING MAN,David Baldacci,Grand Central,"Aloysius Archer, a World War II veteran, seeks to apprentice with Willie Dash, a private eye, in a corrupt California town.",2021-05-16,David Baldacci,,A GAMBLING MAN,"A Gambling Man (Archer, #2)",https://www.goodreads.com/author/show/9291.David_Baldacci?from_search=true&from_srp=true,4.14,38091.0,2021,"Richmond, Virginia, The United States","Richmond, Virginia, The United States",Point,"[-77.4360481, 37.5407246]"
7983,4,New this week,FUGITIVE TELEMETRY,Martha Wells,Tor.com,"The sixth book in the Murderbot Diaries series. When a dead body turns up on Preservation Station, Murderbot must speak to humans.",2021-05-16,Martha Wells,,FUGITIVE TELEMETRY,"Fugitive Telemetry (The Murderbot Diaries, #6)",https://www.goodreads.com/author/show/87305.Martha_Wells?from_search=true&from_srp=true,4.32,57931.0,2021,"Fort Worth, Texas, The United States","Fort Worth, Texas, The United States",Point,"[-97.3307658, 32.7554883]"
7984,5,5 weeks on the list,THE HILL WE CLIMB,Amanda Gorman,Viking,"The poem read on President Joe Biden's Inauguration Day, by the youngest poet to write and perform an inaugural poem.",2021-05-16,Amanda Gorman,,THE HILL WE CLIMB,The Hill We Climb: An Inaugural Poem for the Country,https://www.goodreads.com/author/show/17342520.Amanda_Gorman?from_search=true&from_srp=true,4.57,30520.0,2021,"Los Angeles, California, The United States","Los Angeles, California, The United States",Point,"[-118.242643, 34.0549076]"
7985,6,13 weeks on the list,THE FOUR WINDS,Kristin Hannah,St. Martin's,"As dust storms roll during the Great Depression, Elsa must choose between saving the family and farm or heading West.",2021-05-16,Kristin Hannah,,THE FOUR WINDS,The Four Winds,https://www.goodreads.com/author/show/54493.Kristin_Hannah?from_search=true&from_srp=true,4.3,610519.0,2021,"Southern California, The United States","Southern California, The United States",Point,"[-116.419389, 34.9592083]"
7986,7,128 weeks on the list,WHERE THE CRAWDADS SING,Delia Owens,Putnam,"In a quiet town on the North Carolina coast in 1969, a young woman who survived alone in the marsh becomes a murder suspect.",2021-05-16,Delia Owens,,WHERE THE CRAWDADS SING,Where the Crawdads Sing,https://www.goodreads.com/author/show/7043934.Delia_Owens?from_search=true&from_srp=true,4.39,2780171.0,2021,,,,
7987,8,3 weeks on the list,OCEAN PREY,John Sandford,Putnam,"The 31st book in the Prey series. When federal officers are killed, Lucas Davenport and Virgil Flowers team up to investigate matters.",2021-05-16,John Sandford,,OCEAN PREY,"Ocean Prey (Lucas Davenport #31, Virgil Flowers #13)",https://www.goodreads.com/author/show/4610.John_Sandford?from_search=true&from_srp=true,4.39,32685.0,2021,"Cedar Rapids, Iowa, The United States","Cedar Rapids, Iowa, The United States",Point,"[-91.6656232, 41.9778795]"
7988,9,22 weeks on the list,THE MIDNIGHT LIBRARY,Matt Haig,Viking,Nora Seed finds a library beyond the edge of the universe that contains books with multiple possibilities of the lives one could have lived.,2021-05-16,Matt Haig,,THE MIDNIGHT LIBRARY,The Midnight Library,https://www.goodreads.com/author/show/76360.Matt_Haig?from_search=true&from_srp=true,4.01,1588083.0,2021,"Sheffield, The United Kingdom","Sheffield, The United Kingdom",Point,"[-1.470085, 53.38112899999999]"
7989,10,10 weeks on the list,THE SENTINEL,Lee Child and Andrew Child,Dell,Jack Reacher intervenes on an ambush in Tennessee and uncovers a conspiracy.,2021-05-16,Lee Child,Andrew Child,THE SENTINEL,"The Sentinel (Jack Reacher, #25)",https://www.goodreads.com/author/show/5091.Lee_Child?from_search=true&from_srp=true,3.96,55480.0,2021,The United Kingdom,The United Kingdom,Point,"[-3.435973, 55.378051]"
7990,11,New this week,A DISTANT SHORE,Karen Kingsbury,Atria,A secret agent with the F.B.I. and a young woman betrothed by her father to a drug lord pretend to be in love for a mission.,2021-05-16,Karen Kingsbury,,A DISTANT SHORE,A Distant Shore,https://www.goodreads.com/author/show/3159984.Karen_Kingsbury?from_search=true&from_srp=true,4.29,7215.0,2021,,,,
7991,12,New this week,MEANT TO BE IMMORTAL,Lynsay Sands,Avon,The 32nd book in the Argeneau series.,2021-05-16,Lynsay Sands,,MEANT TO BE IMMORTAL,"Meant to Be Immortal (Argeneau, #32)",https://www.goodreads.com/author/show/17059.Lynsay_Sands?from_search=true&from_srp=true,4.17,3748.0,2021,"Leamington, Canada","Leamington, Canada",Point,"[-82.59980019999999, 42.0530892]"
7992,13,New this week,THRAWN ASCENDANCY: GREATER GOOD,Timothy Zahn,Del Rey,"In this Star Wars saga, Thrawn and the Expansionary Defense Fleet discover how their enemy truly operates.",2021-05-16,Timothy Zahn,,THRAWN ASCENDANCY: GREATER GOOD,"Greater Good (Star Wars: Thrawn Ascendancy, #2)",https://www.goodreads.com/author/show/12479.Timothy_Zahn?from_search=true&from_srp=true,4.13,9152.0,2021,"Chicago, IL, The United States","Chicago, IL, The United States",Point,"[-87.6297982, 41.8781136]"
7993,14,New this week,WHEREABOUTS,Jhumpa Lahiri,Knopf,A woman who feels lost in life finds solace in the city she calls home and gets a new outlook while visiting the sea.,2021-05-16,Jhumpa Lahiri,,WHEREABOUTS,Whereabouts,https://www.goodreads.com/author/show/3670.Jhumpa_Lahiri?from_search=true&from_srp=true,3.77,27710.0,2021,"London (England), The United Kingdom","London (England), The United Kingdom",Point,"[-0.1275862, 51.5072178]"
7994,15,7 weeks on the list,THE SONG OF ACHILLES,Madeline Miller,Ecco,A reimagining of Homer’s “Iliad” that is narrated by Achilles' companion Patroclus.,2021-05-16,Madeline Miller,,THE SONG OF ACHILLES,The Song of Achilles,https://www.goodreads.com/author/show/176372.Madeline_Miller?from_search=true&from_srp=true,4.34,1358953.0,2021,"Boston, The United States","Boston, The United States",Point,"[-71.0588801, 42.3600825]"
7995,1,New this week,21ST BIRTHDAY,James Patterson and Maxine Paetro,"Little, Brown",The 21st book in the Women’s Murder Club series. New evidence changes the investigation of a missing mother.,2021-05-23,James Patterson,Maxine Paetro,21ST BIRTHDAY,"21st Birthday (Women's Murder Club, #21)",https://www.goodreads.com/author/show/3780.James_Patterson?from_search=true&from_srp=true,4.18,34142.0,2021,"Newburgh, New York, The United States","Newburgh, New York, The United States",Point,"[-74.0104178, 41.5034271]"
7996,2,New this week,THE LAST THING HE TOLD ME,Laura Dave,Simon & Schuster,Hannah Hall discovers truths about her missing husband and bonds with his daughter from a previous relationship.,2021-05-23,Laura Dave,,THE LAST THING HE TOLD ME,The Last Thing He Told Me,https://www.goodreads.com/author/show/2672.Laura_Dave?from_search=true&from_srp=true,3.85,870802.0,2021,"New York, The United States","New York, The United States",Point,"[-74.0059728, 40.7127753]"
7997,3,New this week,PROJECT HAIL MARY,Andy Weir,Ballantine,"Ryland Grace awakes from a long sleep alone and far from home, and the fate of humanity rests on his shoulders.",2021-05-23,Andy Weir,,PROJECT HAIL MARY,Project Hail Mary,https://www.goodreads.com/author/show/6540057.Andy_Weir?from_search=true&from_srp=true,4.51,504681.0,2021,The United States,The United States,Point,"[-95.712891, 37.09024]"
7998,4,2 weeks on the list,SOOLEY,John Grisham,Doubleday,Samuel Sooleymon receives a basketball scholarship to North Carolina Central and determines to bring his family over from a civil war-ravaged South Sudan.,2021-05-23,John Grisham,,SOOLEY,Sooley,https://www.goodreads.com/author/show/721.John_Grisham?from_search=true&from_srp=true,4.14,59224.0,2021,"Jonesboro, Arkansas, The United States","Jonesboro, Arkansas, The United States",Point,"[-90.7051346, 35.835696]"
7999,5,129 weeks on the list,WHERE THE CRAWDADS SING,Delia Owens,Putnam,"In a quiet town on the North Carolina coast in 1969, a young woman who survived alone in the marsh becomes a murder suspect.",2021-05-23,Delia Owens,,WHERE THE CRAWDADS SING,Where the Crawdads Sing,https://www.goodreads.com/author/show/7043934.Delia_Owens?from_search=true&from_srp=true,4.39,2780171.0,2021,,,,
8000,6,14 weeks on the list,THE FOUR WINDS,Kristin Hannah,St. Martin's,"As dust storms roll during the Great Depression, Elsa must choose between saving the family and farm or heading West.",2021-05-23,Kristin Hannah,,THE FOUR WINDS,The Four Winds,https://www.goodreads.com/author/show/54493.Kristin_Hannah?from_search=true&from_srp=true,4.3,610519.0,2021,"Southern California, The United States","Southern California, The United States",Point,"[-116.419389, 34.9592083]"
8001,7,3 weeks on the list,A GAMBLING MAN,David Baldacci,Grand Central,"Aloysius Archer, a World War II veteran, seeks to apprentice with Willie Dash, a private eye, in a corrupt California town.",2021-05-23,David Baldacci,,A GAMBLING MAN,"A Gambling Man (Archer, #2)",https://www.goodreads.com/author/show/9291.David_Baldacci?from_search=true&from_srp=true,4.14,38091.0,2021,"Richmond, Virginia, The United States","Richmond, Virginia, The United States",Point,"[-77.4360481, 37.5407246]"
8002,8,New this week,THE NEWCOMER,Mary Kay Andrews,St. Martin's,"After discovering her sister dead, Letty Carnahan drives away with her niece and finds potential trouble with a police detective at a Florida motel.",2021-05-23,Mary Kay Andrews,,THE NEWCOMER,The Newcomer,https://www.goodreads.com/author/show/21387.Mary_Kay_Andrews?from_search=true&from_srp=true,3.95,45128.0,2021,"St. Petersburg, FL, The United States","St. Petersburg, FL, The United States",Point,"[-82.6384451, 27.7671271]"
8003,9,6 weeks on the list,THE HILL WE CLIMB,Amanda Gorman,Viking,"The poem read on President Joe Biden's Inauguration Day, by the youngest poet to write and perform an inaugural poem.",2021-05-23,Amanda Gorman,,THE HILL WE CLIMB,The Hill We Climb: An Inaugural Poem for the Country,https://www.goodreads.com/author/show/17342520.Amanda_Gorman?from_search=true&from_srp=true,4.57,30520.0,2021,"Los Angeles, California, The United States","Los Angeles, California, The United States",Point,"[-118.242643, 34.0549076]"
8004,10,23 weeks on the list,THE MIDNIGHT LIBRARY,Matt Haig,Viking,Nora Seed finds a library beyond the edge of the universe that contains books with multiple possibilities of the lives one could have lived.,2021-05-23,Matt Haig,,THE MIDNIGHT LIBRARY,The Midnight Library,https://www.goodreads.com/author/show/76360.Matt_Haig?from_search=true&from_srp=true,4.01,1588083.0,2021,"Sheffield, The United Kingdom","Sheffield, The United Kingdom",Point,"[-1.470085, 53.38112899999999]"
8005,11,2 weeks on the list,FINDING ASHLEY,Danielle Steel,Delacorte,"Two estranged sisters, one a former best-selling author, the other a nun, reconnect as one searches for the child the other gave up.",2021-05-23,Danielle Steel,,FINDING ASHLEY,Finding Ashley,https://www.goodreads.com/author/show/14255.Danielle_Steel?from_search=true&from_srp=true,4.11,13429.0,2021,"New York, New York, The United States","New York, New York, The United States",Point,"[-74.0059728, 40.7127753]"
8006,12,37 weeks on the list,THE SILENT PATIENT,Alex Michaelides,Celadon,Theo Faber looks into the mystery of a famous painter who stops speaking after shooting her husband.,2021-05-23,Alex Michaelides,,THE SILENT PATIENT,The Silent Patient,https://www.goodreads.com/author/show/17621440.Alex_Michaelides?from_search=true&from_srp=true,4.18,1862707.0,2021,,,,
8007,13,11 weeks on the list,THE SENTINEL,Lee Child and Andrew Child,Dell,Jack Reacher intervenes on an ambush in Tennessee and uncovers a conspiracy.,2021-05-23,Lee Child,Andrew Child,THE SENTINEL,"The Sentinel (Jack Reacher, #25)",https://www.goodreads.com/author/show/5091.Lee_Child?from_search=true&from_srp=true,3.96,55480.0,2021,The United Kingdom,The United Kingdom,Point,"[-3.435973, 55.378051]"
8008,14,New this week,HOUR OF THE WITCH,Chris Bohjalian,Doubleday,"In 1662 Boston, a young Puritan woman seeks to escape from a cruel husband and rumors that might mean her death.",2021-05-23,Chris Bohjalian,,HOUR OF THE WITCH,Hour of the Witch,https://www.goodreads.com/author/show/3509.Chris_Bohjalian?from_search=true&from_srp=true,3.85,42394.0,2021,"White Plains, New York, The United States","White Plains, New York, The United States",Point,"[-73.7629097, 41.03398620000001]"
8009,15,New this week,SUMMER ON THE BLUFFS,Sunny Hostin,Morrow,Amelia Vaux Tanner plans to give a cottage in a Black beach community to one of her three favorite guests.,2021-05-23,Sunny Hostin,,SUMMER ON THE BLUFFS,Summer on the Bluffs (Oak Bluffs #1),https://www.goodreads.com/author/show/18915404.Sunny_Hostin?from_search=true&from_srp=true,3.8,9244.0,2021,,,,
8010,1,New this week,WHILE JUSTICE SLEEPS,Stacey Abrams,Doubleday,"When Justice Wynn slips into a coma, his law clerk, Avery Keene, must unravel the clues of a controversial case.",2021-05-30,Stacey Abrams,,WHILE JUSTICE SLEEPS,While Justice Sleeps (Avery Keene #1),https://www.goodreads.com/author/show/17274107.Stacey_Abrams?from_search=true&from_srp=true,3.96,38997.0,2021,"Madison, Wisconsin, The United States","Madison, Wisconsin, The United States",Point,"[-89.4007501, 43.0721661]"
8011,2,3 weeks on the list,SOOLEY,John Grisham,Doubleday,Samuel Sooleymon receives a basketball scholarship to North Carolina Central and determines to bring his family over from a civil war-ravaged South Sudan.,2021-05-30,John Grisham,,SOOLEY,Sooley,https://www.goodreads.com/author/show/721.John_Grisham?from_search=true&from_srp=true,4.14,59224.0,2021,"Jonesboro, Arkansas, The United States","Jonesboro, Arkansas, The United States",Point,"[-90.7051346, 35.835696]"
8012,3,2 weeks on the list,THE LAST THING HE TOLD ME,Laura Dave,Simon & Schuster,Hannah Hall discovers truths about her missing husband and bonds with his daughter from a previous relationship.,2021-05-30,Laura Dave,,THE LAST THING HE TOLD ME,The Last Thing He Told Me,https://www.goodreads.com/author/show/2672.Laura_Dave?from_search=true&from_srp=true,3.85,870802.0,2021,"New York, The United States","New York, The United States",Point,"[-74.0059728, 40.7127753]"
8013,4,New this week,THAT SUMMER,Jennifer Weiner,Atria,Daisy Shoemaker receives emails intended for a woman leading a more glamorous life and finds there was more to this accident.,2021-05-30,Jennifer Weiner,,THAT SUMMER,That Summer,https://www.goodreads.com/author/show/9212.Jennifer_Weiner?from_search=true&from_srp=true,3.75,79838.0,2021,The United States,The United States,Point,"[-95.712891, 37.09024]"
8014,5,New this week,PEOPLE WE MEET ON VACATION,Emily Henry,Berkley,Opposites Poppy and Alex meet to vacation together one more time in hopes of saving their relationship.,2021-05-30,Emily Henry,,PEOPLE WE MEET ON VACATION,People We Meet on Vacation,https://www.goodreads.com/author/show/13905555.Emily_Henry?from_search=true&from_srp=true,3.89,1029228.0,2021,,,,
8015,6,2 weeks on the list,21ST BIRTHDAY,James Patterson and Maxine Paetro,"Little, Brown",The 21st book in the Women’s Murder Club series. New evidence changes the investigation of a missing mother.,2021-05-30,James Patterson,Maxine Paetro,21ST BIRTHDAY,"21st Birthday (Women's Murder Club, #21)",https://www.goodreads.com/author/show/3780.James_Patterson?from_search=true&from_srp=true,4.18,34142.0,2021,"Newburgh, New York, The United States","Newburgh, New York, The United States",Point,"[-74.0104178, 41.5034271]"
8016,7,2 weeks on the list,PROJECT HAIL MARY,Andy Weir,Ballantine,"Ryland Grace awakes from a long sleep alone and far from home, and the fate of humanity rests on his shoulders.",2021-05-30,Andy Weir,,PROJECT HAIL MARY,Project Hail Mary,https://www.goodreads.com/author/show/6540057.Andy_Weir?from_search=true&from_srp=true,4.51,504681.0,2021,The United States,The United States,Point,"[-95.712891, 37.09024]"
8017,8,130 weeks on the list,WHERE THE CRAWDADS SING,Delia Owens,Putnam,"In a quiet town on the North Carolina coast in 1969, a young woman who survived alone in the marsh becomes a murder suspect.",2021-05-30,Delia Owens,,WHERE THE CRAWDADS SING,Where the Crawdads Sing,https://www.goodreads.com/author/show/7043934.Delia_Owens?from_search=true&from_srp=true,4.39,2780171.0,2021,,,,
8018,9,4 weeks on the list,A GAMBLING MAN,David Baldacci,Grand Central,"Aloysius Archer, a World War II veteran, seeks to apprentice with Willie Dash, a private eye, in a corrupt California town.",2021-05-30,David Baldacci,,A GAMBLING MAN,"A Gambling Man (Archer, #2)",https://www.goodreads.com/author/show/9291.David_Baldacci?from_search=true&from_srp=true,4.14,38091.0,2021,"Richmond, Virginia, The United States","Richmond, Virginia, The United States",Point,"[-77.4360481, 37.5407246]"
8019,10,15 weeks on the list,THE FOUR WINDS,Kristin Hannah,St. Martin's,"As dust storms roll during the Great Depression, Elsa must choose between saving the family and farm or heading West.",2021-05-30,Kristin Hannah,,THE FOUR WINDS,The Four Winds,https://www.goodreads.com/author/show/54493.Kristin_Hannah?from_search=true&from_srp=true,4.3,610519.0,2021,"Southern California, The United States","Southern California, The United States",Point,"[-116.419389, 34.9592083]"
8020,11,24 weeks on the list,THE MIDNIGHT LIBRARY,Matt Haig,Viking,Nora Seed finds a library beyond the edge of the universe that contains books with multiple possibilities of the lives one could have lived.,2021-05-30,Matt Haig,,THE MIDNIGHT LIBRARY,The Midnight Library,https://www.goodreads.com/author/show/76360.Matt_Haig?from_search=true&from_srp=true,4.01,1588083.0,2021,"Sheffield, The United Kingdom","Sheffield, The United Kingdom",Point,"[-1.470085, 53.38112899999999]"
8021,12,7 weeks on the list,THE HILL WE CLIMB,Amanda Gorman,Viking,"The poem read on President Joe Biden's Inauguration Day, by the youngest poet to write and perform an inaugural poem.",2021-05-30,Amanda Gorman,,THE HILL WE CLIMB,The Hill We Climb: An Inaugural Poem for the Country,https://www.goodreads.com/author/show/17342520.Amanda_Gorman?from_search=true&from_srp=true,4.57,30520.0,2021,"Los Angeles, California, The United States","Los Angeles, California, The United States",Point,"[-118.242643, 34.0549076]"
8022,13,New this week,THE SUMMER OF LOST AND FOUND,Mary Alice Monroe,Gallery,The seventh book in the Beach House series. A love triangle is complicated by Covid-19.,2021-05-30,Mary Alice Monroe,,THE SUMMER OF LOST AND FOUND,"The Summer of Lost and Found (Beach House, #7)",https://www.goodreads.com/author/show/5080.Mary_Alice_Monroe?from_search=true&from_srp=true,3.88,9509.0,2021,The United States,The United States,Point,"[-95.712891, 37.09024]"
8023,14,38 weeks on the list,THE SILENT PATIENT,Alex Michaelides,Celadon,Theo Faber looks into the mystery of a famous painter who stops speaking after shooting her husband.,2021-05-30,Alex Michaelides,,THE SILENT PATIENT,The Silent Patient,https://www.goodreads.com/author/show/17621440.Alex_Michaelides?from_search=true&from_srp=true,4.18,1862707.0,2021,,,,
8024,15,New this week,THE DEVIL MAY DANCE,Jake Tapper,"Little, Brown","The second book in the Charlie and Margaret Marder Mystery series. Attorney General Robert Kennedy asks the Marders to look into a threat, which brings them into contact with the Rat Pack and the Church of Scientology.",2021-05-30,Jake Tapper,,THE DEVIL MAY DANCE,The Devil May Dance,https://www.goodreads.com/author/show/233537.Jake_Tapper?from_search=true&from_srp=true,3.6,4146.0,2021,"New York, NY, The United States","New York, NY, The United States",Point,"[-74.0059728, 40.7127753]"
8025,1,3 weeks on the list,THE LAST THING HE TOLD ME,Laura Dave,Simon & Schuster,Hannah Hall discovers truths about her missing husband and bonds with his daughter from a previous relationship.,2021-06-06,Laura Dave,,THE LAST THING HE TOLD ME,The Last Thing He Told Me,https://www.goodreads.com/author/show/2672.Laura_Dave?from_search=true&from_srp=true,3.85,870802.0,2021,"New York, The United States","New York, The United States",Point,"[-74.0059728, 40.7127753]"
8026,2,4 weeks on the list,SOOLEY,John Grisham,Doubleday,Samuel Sooleymon receives a basketball scholarship to North Carolina Central and determines to bring his family over from a civil war-ravaged South Sudan.,2021-06-06,John Grisham,,SOOLEY,Sooley,https://www.goodreads.com/author/show/721.John_Grisham?from_search=true&from_srp=true,4.14,59224.0,2021,"Jonesboro, Arkansas, The United States","Jonesboro, Arkansas, The United States",Point,"[-90.7051346, 35.835696]"
8027,3,3 weeks on the list,PROJECT HAIL MARY,Andy Weir,Ballantine,"Ryland Grace awakes from a long sleep alone and far from home, and the fate of humanity rests on his shoulders.",2021-06-06,Andy Weir,,PROJECT HAIL MARY,Project Hail Mary,https://www.goodreads.com/author/show/6540057.Andy_Weir?from_search=true&from_srp=true,4.51,504681.0,2021,The United States,The United States,Point,"[-95.712891, 37.09024]"
